timestamp,username,action,modulo,details,result
2026-05-20 18:57:28,archivo_admin,Session Restored,Archivo,Roles: {'Archivo': 'Admin'},Success
2026-05-20 18:57:40,archivo_admin,Session Restored,Archivo,Roles: {'Archivo': 'Admin'},Success
2026-05-20 18:57:47,rrhh_admin,Login Success,RRHH,Roles: {'RRHH': 'Admin'},Success
2026-05-20 18:57:48,rrhh_admin,Session Restored,RRHH,Roles: {'RRHH': 'Admin'},Success
2026-05-20 18:58:28,archivo_admin,Login Success,Archivo,Roles: {'Archivo': 'Admin'},Success
2026-05-20 18:58:29,archivo_admin,Session Restored,Archivo,Roles: {'Archivo': 'Admin'},Success
2026-05-20 18:59:04,archivo_admin,Session Restored,Archivo,Roles: {'Archivo': 'Admin'},Success
2026-05-20 18:59:39,rrhh_admin,Login Success,RRHH,Roles: {'RRHH': 'Admin'},Success
2026-05-20 18:59:39,rrhh_admin,Session Restored,RRHH,Roles: {'RRHH': 'Admin'},Success
2026-05-20 19:02:33,rrhh_admin,Login Success,RRHH,Roles: {'RRHH': 'Admin'},Success
2026-05-20 19:02:33,rrhh_admin,Session Restored,RRHH,Roles: {'RRHH': 'Admin'},Success
2026-05-20 19:03:08,rrhh_admin,Session Restored,RRHH,Roles: {'RRHH': 'Admin'},Success
2026-05-20 19:03:16,rrhh_admin,Session Restored,RRHH,Roles: {'RRHH': 'Admin'},Success
2026-05-20 19:03:44,admin,Login Success,Archivo;RRHH,"Roles: {'Archivo': 'Admin', 'RRHH': 'Admin'}",Success
2026-05-20 19:03:44,admin,Session Restored,Archivo;RRHH,"Roles: {'Archivo': 'Admin', 'RRHH': 'Admin'}",Success
2026-05-20 19:03:47,admin,Session Restored,Archivo;RRHH,"Roles: {'Archivo': 'Admin', 'RRHH': 'Admin'}",Success
2026-05-20 19:03:52,admin,Session Restored,Archivo;RRHH,"Roles: {'Archivo': 'Admin', 'RRHH': 'Admin'}",Success
2026-05-20 19:04:31,admin,Login Success,Archivo;RRHH,"Roles: {'Archivo': 'Admin', 'RRHH': 'Admin'}",Success
2026-05-20 19:04:32,admin,Session Restored,Archivo;RRHH,"Roles: {'Archivo': 'Admin', 'RRHH': 'Admin'}",Success
2026-05-20 19:04:34,admin,Session Restored,Archivo;RRHH,"Roles: {'Archivo': 'Admin', 'RRHH': 'Admin'}",Success
2026-05-20 19:04:37,admin,Session Restored,Archivo;RRHH,"Roles: {'Archivo': 'Admin', 'RRHH': 'Admin'}",Success
2026-05-20 19:04:40,admin,Session Restored,Archivo;RRHH,"Roles: {'Archivo': 'Admin', 'RRHH': 'Admin'}",Success
2026-05-20 19:04:43,admin,Session Restored,Archivo;RRHH,"Roles: {'Archivo': 'Admin', 'RRHH': 'Admin'}",Success
2026-05-20 19:04:49,rrhh_admin,Login Success,RRHH,Roles: {'RRHH': 'Admin'},Success
2026-05-20 19:04:49,rrhh_admin,Session Restored,RRHH,Roles: {'RRHH': 'Admin'},Success
2026-05-20 19:04:57,rrhh_admin,Session Restored,RRHH,Roles: {'RRHH': 'Admin'},Success
2026-05-20 19:04:59,rrhh_admin,Session Restored,RRHH,Roles: {'RRHH': 'Admin'},Success
